ID;invoice_ID;invoice_item_ID;line_number;check_code;check_group;severity;severity_source;message;observed_value;expected_value;variance_value;variance_pct;threshold_crossed;tolerance_rule_ID;status;is_gating;detected_at;detected_by;cleared_at;cleared_reason;created_at;created_by;modified_at;modified_by
e0c00000-0000-4000-8000-000000000001;21a00004-0000-4000-8000-000000000001;21a00005-0000-4000-8000-000000000002;20;INV451;QUANTITY;WARNING;TOLERANCE_LADDER;Invoiced 10100 KG against goods receipt 10000 (+1%), which is the WARNING rung of TOL-INV-QTY.;10100;10000;100;1;0.5;21a00007-0000-4000-8000-000000000001;OPEN;false;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000002;21a00004-0000-4000-8000-000000000001;21a00005-0000-4000-8000-000000000003;30;INV451;QUANTITY;SOFT_ERROR;TOLERANCE_LADDER;Invoiced 10300 KG against goods receipt 10000 (+3%), which is the SOFT rung of TOL-INV-QTY.;10300;10000;300;3;2;21a00007-0000-4000-8000-000000000001;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000003;21a00004-0000-4000-8000-000000000001;21a00005-0000-4000-8000-000000000004;40;INV451;QUANTITY;HARD_ERROR;TOLERANCE_LADDER;Invoiced 10800 KG against goods receipt 10000 (+8%), which is the HARD rung of TOL-INV-QTY.;10800;10000;800;8;5;21a00007-0000-4000-8000-000000000001;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000004;21a00004-0000-4000-8000-000000000002;;;INV460;CAPTURE;HARD_ERROR;REGISTRY_DEFAULT;"The document states 4 line(s); 3 were received.";3;4;-1;;;;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000005;21a00004-0000-4000-8000-000000000002;21a00005-0000-4000-8000-000000000005;10;INV462;RESOLUTION;HARD_ERROR;REGISTRY_DEFAULT;"Ticket ""WFS-YYZ-NOSUCH-9999"" is not in FuelSphere. Nothing links this line to a delivery.";;;;;;;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000006;21a00004-0000-4000-8000-000000000002;21a00005-0000-4000-8000-000000000006;20;INV463;RESOLUTION;HARD_ERROR;REGISTRY_DEFAULT;Ticket WFS-YYZ-2026041405 exists but carries no order (UNMATCHED). There is no PO to invoice against.;;;;;;;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000007;21a00004-0000-4000-8000-000000000002;21a00005-0000-4000-8000-000000000007;30;INV464;RESOLUTION;HARD_ERROR;REGISTRY_DEFAULT;Order FO-YYZ-20260414-0006 has no s4_po_number. The invoice cannot reference a purchase order that was never created.;;;;;;;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000008;21a00004-0000-4000-8000-000000000003;21a00005-0000-4000-8000-000000000008;10;INV455;DUPLICATE;HARD_ERROR;REGISTRY_DEFAULT;Ticket WFS-YYZ-2026041408 is invoiced on 2 lines in total (2 on this invoice). A ticket is payable once.;2;1;;;;;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000009;21a00004-0000-4000-8000-000000000003;21a00005-0000-4000-8000-000000000009;20;INV455;DUPLICATE;HARD_ERROR;REGISTRY_DEFAULT;Ticket WFS-YYZ-2026041408 is invoiced on 2 lines in total (2 on this invoice). A ticket is payable once.;2;1;;;;;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
e0c00000-0000-4000-8000-000000000010;21a00004-0000-4000-8000-000000000003;;;INV473;DUPLICATE;HARD_ERROR;REGISTRY_DEFAULT;Invoice number INV-WFS-2026W21-003 is already captured for this supplier (1 other: 2026-04-15).;1;;;;;;OPEN;true;2026-09-01T00:00:00Z;VALIDATE_FOR_POSTING;;;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED;2026-09-01T00:00:00Z;FIM_STEP1_COMPUTED
